Atom_Key,Element,Oxidation_State,Atomic_Number,radii,Ionization_Energy,Electronegativity,Electron_Affinity,Atomic_Volume,HOMO,LUMO,Zunger_Radius,Group,Period,Block,Melting_Point,Boiling_Point,Thermal_Conductivity
Cu2+,Cu,2,29,0.73,745.4797743,1.9,119.2346192,7.11,-4.613,-0.692,2.04,11,4,d,1357.77,3200,400
Cu3+,Cu,3,29,0.54,745.4797743,1.9,119.2346192,7.11,-4.613,-0.692,2.04,11,4,d,1357.77,3200,400
Dy2+,Dy,2,66,1.19,573.0292393,1.22,1.4762205,19.01,-2.507,-2.247,3.67,3,6,f,1680,2840,11
Dy3+,Dy,3,66,1.083,573.0292393,1.22,1.4762205,19.01,-2.507,-2.247,3.67,3,6,f,1680,2840,11
Er3+,Er,3,68,1.062,589.3014345,1.24,30.10332,18.46,-2.15,-2.147,3.63,3,6,f,1802,3141,15
Eu2+,Eu,2,63,1.35,547.1070967,1.2,11.20480305,28.97,-2.735,-1.56,3.94,3,6,f,1099,1800,14
Eu3+,Eu,3,63,1.12,547.1070967,1.2,11.20480305,28.97,-2.735,-1.56,3.94,3,6,f,1099,1800,14
Fe2+,Fe,2,26,0.92,762.4696346,1.83,14.78500923,7.09,-4.434,-0.943,2.11,8,4,d,1811,3134,80
Fe3+,Fe,3,26,0.78,762.4696346,1.83,14.78500923,7.09,-4.434,-0.943,2.11,8,4,d,1811,3134,80
Fe4+,Fe,4,26,0.585,762.4696346,1.83,14.78500923,7.09,-4.434,-0.943,2.11,8,4,d,1811,3134,80
Ga3+,Ga,3,31,0.62,578.8426535,1.81,29.05801598,11.8,-2.577,-0.493,1.695,13,4,p,302.91,2477,29
Gd3+,Gd,3,64,1.107,593.363453,1.2,20.4837655,19.9,-2.168,-1.523,3.91,3,6,f,1585,3523,11
Ge2+,Ge,2,32,0.73,762.176986,2.01,118.9347837,13.63,-3.894,-0.529,1.56,14,4,p,1211.4,3093,60
Ge4+,Ge,4,32,0.53,762.176986,2.01,118.9347837,13.63,-3.894,-0.529,1.56,14,4,p,1211.4,3093,60
Hf4+,Hf,4,72,0.83,658.516879,1.3,17.18108395,13.44,-2.778,-2.774,2.91,4,6,d,2506,4876,23
Hg1+,Hg,1,80,1.19,1007.062573,2,-50.1722,14.09,-6.815,-1.042,2.41,12,6,d,234.32,629.88,8.3
Hg2+,Hg,2,80,1.14,1007.062573,2,-50.1722,14.09,-6.815,-1.042,2.41,12,6,d,234.32,629.88,8.3
Ho3+,Ho,3,67,1.12,580.9844275,1.23,32.61193,18.74,-2.261,-2.252,3.65,3,6,f,1734,2993,16
In3+,In,3,49,0.92,558.2965297,1.78,37.04310011,15.76,-2.516,-0.492,2.05,13,5,p,429.75,2345,82
Ir3+,Ir,3,77,0.68,865.1829247,2.2,150.9080512,8.52,-5.659,-0.955,2.628,9,6,d,2739,4701,150
Ir4+,Ir,4,77,0.625,865.1829247,2.2,150.9080512,8.52,-5.659,-0.955,2.628,9,6,d,2739,4701,150
Ir5+,Ir,5,77,0.57,865.1829247,2.2,150.9080512,8.52,-5.659,-0.955,2.628,9,6,d,2739,4701,150
K1+,K,1,19,1.64,418.80894,0.82,48.38328416,45.94,-2.33,-0.793,3.69,1,4,s,336.53,1032,100
La3+,La,3,57,1.36,538.0871965,1.1,53.79484511,22.39,-2.885,-2.881,3.08,3,6,f,1193,3743,13
Li1+,Li,1,3,0.92,520.2196214,0.98,59.63247899,13.02,-2.874,-1.09,1.61,1,2,s,453.69,1615,85
Lu3+,Lu,3,71,1.032,523.5151634,1.27,23.04737195,17.78,-1.818,-1.698,3.37,3,6,d,1925,3675,16
Mg2+,Mg,2,12,0.89,737.7470805,1.31,-40.5237,14,-4.706,-1.328,2.03,2,3,s,923,1363,160
Mn2+,Mn,2,25,0.96,717.2731564,1.55,-50.1722,7.35,-4.444,-1.061,2.22,7,4,d,1519,2334,7.8
Mn3+,Mn,3,25,0.645,717.2731564,1.55,-50.1722,7.35,-4.444,-1.061,2.22,7,4,d,1519,2334,7.8
Mn4+,Mn,4,25,0.53,717.2731564,1.55,-50.1722,7.35,-4.444,-1.061,2.22,7,4,d,1519,2334,7.8
Mn7+,Mn,7,25,0.46,717.2731564,1.55,-50.1722,7.35,-4.444,-1.061,2.22,7,4,d,1519,2334,7.8
Mo3+,Mo,3,42,0.69,684.3131086,2.16,72.09725843,9.38,-4.234,-4.079,2.72,6,5,d,2896,4912,139
Mo4+,Mo,4,42,0.65,684.3131086,2.16,72.09725843,9.38,-4.234,-4.079,2.72,6,5,d,2896,4912,139
Mo5+,Mo,5,42,0.61,684.3131086,2.16,72.09725843,9.38,-4.234,-4.079,2.72,6,5,d,2896,4912,139
Mo6+,Mo,6,42,0.59,684.3131086,2.16,72.09725843,9.38,-4.234,-4.079,2.72,6,5,d,2896,4912,139
Na1+,Na,1,11,1.39,495.8438405,0.93,52.86666423,23.78,-2.747,-0.732,2.65,1,3,s,370.87,1156,140
Nb3+,Nb,3,41,0.72,652.1276423,1.6,88.5160144,10.83,-4.617,-4.512,2.76,5,5,d,2750,5017,54
Nb4+,Nb,4,41,0.79,652.1276423,1.6,88.5160144,10.83,-4.617,-4.512,2.76,5,5,d,2750,5017,54
Nb5+,Nb,5,41,0.74,652.1276423,1.6,88.5160144,10.83,-4.617,-4.512,2.76,5,5,d,2750,5017,54
Nd2+,Nd,2,60,1.35,533.079625,1.14,9.406641051,20.59,-2.98,-2.88,3.99,3,6,f,1297,3373,17
Nd3+,Nd,3,60,1.27,533.079625,1.14,9.406641051,20.59,-2.98,-2.88,3.99,3,6,f,1297,3373,17
Ni2+,Ni,2,28,0.69,737.1336288,1.91,111.6486984,6.59,-4.458,-0.747,2.18,10,4,d,1728,3186,91
Ni3+,Ni,3,28,0.6,737.1336288,1.91,111.6486984,6.59,-4.458,-0.747,2.18,10,4,d,1728,3186,91
Ni4+,Ni,4,28,0.48,737.1336288,1.91,111.6486984,6.59,-4.458,-0.747,2.18,10,4,d,1728,3186,91
Os4+,Os,4,76,0.63,814.1626216,2.2,103.9781447,8.42,-6.041,-1.216,2.65,8,6,d,3306,5285,88
Os5+,Os,5,76,0.575,814.1626216,2.2,103.9781447,8.42,-6.041,-1.216,2.65,8,6,d,3306,5285,88
